Alkmaar;5.263.777.924;4.739.722.252;Kritiek
Alphen a/d Rijn;5.212.444.305;4.657.777.786;
Amsterdam Amstel;5.234.666.824;4.917.778.015;
Amsterdam Centraal;5.237.888.718;4.900.277.615;Kritiek
Amsterdam Sloterdijk;5.238.888.931;4.837.777.615;
Amsterdam Zuid;52.338.889;4.872.356;
Beverwijk;5.247.833.252;4.656.666.756;
Castricum;5.254.583.359;4.658.611.298;
Delft;5.200.666.809;4.356.389.046;
Den Haag Centraal;5.208.027.649;4.324.999.809;Kritiek
Den Helder;5.295.527.649;4.761.111.259;
Dordrecht;5.180.722.046;466.833.353;
Gouda;5.201.750.183;4.704.444.408;Kritiek
Haarlem;5.238.777.924;4.638.333.321;Kritiek
Heemstede-Aerdenhout;5.235.916.519;4.606.666.565;
Hoorn;5.264.472.198;5.055.555.344;
Leiden Centraal;5.216.611.099;4.481.666.565;
Rotterdam Alexander;5.195.194.626;4.553.611.279;
Rotterdam Centraal;5.192.499.924;446.888.876;Kritiek
Schiedam Centrum;5.192.124.381;4.408.993.721;
Schiphol Airport;5.230.944.443;4.761.944.294;
Zaandam;5.243.888.855;4.813.611.031;Kritiek
