run, K
0,4841.0
1,5336.1
2,3841.5
3,4334.8
4,7323.9
5,5333.0
6,5330.6
7,4329.3
8,4329.3
9,3840.9
10,4335.7
11,3835.2
12,4320.1
13,4823.9
14,4820.1
15,4323.8
16,5329.8
17,4824.1
18,5330.5
19,4322.2
20,5335.1
21,5835.7
22,3824.0
23,3833.3
24,4826.7
25,4832.0
26,5840.4
27,6329.5
28,3337.7
29,4832.6
30,4828.0
31,5322.1
32,4841.3
33,7314.4
34,5811.3
35,6333.7
36,3343.0
37,5315.9
38,4330.9
39,3840.6
40,4828.6
41,6316.6
42,4821.3
43,4829.8
44,5836.6
45,2840.9
46,5827.5
47,6322.8
48,4341.4
49,5327.8
50,4829.6
51,5336.0
52,6330.8
53,6319.3
54,3831.6
55,5324.1
56,6330.9
57,3339.0
58,5828.9
59,4331.7
60,4827.6
61,4835.8
62,3823.5
63,4829.4
64,4836.8
65,4837.0
66,3834.7
67,5309.1
68,5330.4
69,6324.4
70,5833.6
71,4332.7
72,3339.0
73,5833.6
74,2839.5
75,3833.1
76,3836.5
77,3338.2
78,5827.3
79,4336.6
80,4335.8
81,3834.6
82,3835.5
83,4333.7
84,6318.6
85,4833.5
86,4828.2
87,5812.3
88,3825.4
89,4840.8
90,5818.5
91,3826.7
92,4821.4
93,6822.7
94,3841.1
95,4330.9
96,4825.5
97,6327.7
98,4335.8
99,6328.5
100,3327.1
101,4823.0
102,4326.8
103,5836.9
104,3835.6
105,4827.7
106,5812.3
107,3833.2
108,4829.8
109,5328.5
110,4323.9
111,4337.2
112,4824.4
113,3823.5
114,4829.5
115,5325.0
116,4828.5
117,5325.2
118,4329.3
119,4833.4
120,4335.6
121,5326.9
122,5321.6
123,4319.5
124,5336.5
125,5324.3
126,5333.5
127,5821.1
128,4340.9
129,4831.8
130,3336.6
131,3843.5
132,3841.0
133,5830.9
134,5826.4
135,4322.9
136,5330.0
137,4334.8
138,4329.6
139,5317.6
140,5832.2
141,5332.0
142,5323.8
143,4332.8
144,4323.5
145,4335.4
146,4328.2
147,3334.0
148,2832.5
149,6322.4
150,3833.3
151,3840.0
152,3842.8
153,6827.1
154,4334.7
155,4832.7
156,2840.2
157,3337.9
158,5343.8
159,5334.5
160,5316.7
161,6320.3
162,5824.0
163,3338.2
164,3830.3
165,3827.1
166,5328.4
167,2828.5
168,6327.0
169,3830.3
170,3338.5
171,3835.4
172,4333.0
173,5805.1
174,4828.2
175,3331.5
176,4835.6
177,4332.5
178,5334.1
