run, K
0,8321.1
1,6329.4
2,4346.1
3,6837.2
4,7827.2
5,7830.4
6,6833.2
7,6334.2
8,8824.4
9,8330.4
10,7839.1
11,5838.7
12,6835.5
13,7322.3
14,4341.0
15,8324.3
16,6331.0
17,7824.4
18,8325.4
19,5827.4
20,5323.4
21,7833.6
22,6824.2
23,6331.1
24,7821.2
25,6328.4
26,8329.6
27,6831.7
28,8328.9
29,7337.4
30,7822.2
31,7331.4
32,5827.0
33,6834.4
34,5830.4
35,6333.4
36,7828.0
37,7333.5
38,7332.4
39,7833.4
40,6327.4
41,8325.4
42,8324.2
43,6328.4
44,8332.7
45,3842.4
46,7832.7
47,7333.2
48,6838.4
49,8316.3
50,7332.4
51,7334.5
52,7327.4
53,5834.4
54,7835.2
55,6338.4
56,8332.6
57,6341.9
58,7327.1
59,6832.6
60,5832.4
61,7320.2
62,8835.6
63,7321.4
64,6830.4
65,6832.4
66,6832.4
67,7331.4
68,7336.1
69,6329.9
70,6327.6
71,6831.4
72,6333.5
73,7332.4
74,6331.7
75,5833.5
76,7334.3
77,4843.7
78,6838.7
79,6830.2
80,6333.2
81,5819.5
82,6832.2
83,6331.4
84,6828.6
85,7332.4
86,4339.4
87,4342.4
88,6333.1
89,6330.3
90,7332.6
91,6338.0
92,6831.4
93,7827.1
94,6833.4
95,6333.7
96,7330.9
97,6336.4
98,6323.4
99,6826.6
