run, K
0,3789.2000000000007
1,4794.200000000001
2,4291.300000000001
3,4528.100000000002
4,4285.300000000001
5,4049.000000000001
6,3548.7000000000003
7,3785.100000000001
8,3788.600000000001
9,3799.800000000001
10,3800.500000000001
11,3798.2000000000007
12,4042.600000000001
13,4047.7000000000007
14,4288.200000000001
15,4545.600000000002
16,3793.500000000001
17,3556.5000000000005
18,4306.700000000001
19,3547.9000000000005
20,3309.8000000000006
21,4801.600000000001
22,4055.2000000000007
23,4037.000000000001
24,4058.400000000001
25,2795.2
26,3775.600000000001
27,3306.2000000000003
28,3792.7000000000007
29,3548.5000000000005
30,4050.000000000001
31,3798.2000000000007
32,3545.7000000000003
33,4288.600000000001
34,3297.1000000000004
35,4554.600000000002
36,4300.900000000001
37,4035.000000000001
38,3538.3000000000006
39,4039.400000000001
40,4035.800000000001
41,4051.300000000001
42,4292.600000000001
43,4298.800000000001
44,3543.7000000000003
45,3545.9000000000005
46,4538.200000000002
47,4296.400000000001
48,4289.100000000001
49,3789.600000000001
50,4041.000000000001
51,3041.8
52,4048.800000000001
53,3797.600000000001
54,4543.800000000002
55,4531.4000000000015
56,3805.400000000001
57,4032.300000000001
58,4044.2000000000007
59,4037.2000000000007
60,4293.100000000001
61,4283.400000000001
62,4529.200000000002
63,4028.300000000001
64,3797.400000000001
65,4281.700000000001
66,3555.9000000000005
67,4037.500000000001
68,4061.800000000001
69,3795.900000000001
70,4037.500000000001
71,3799.2000000000007
72,4790.200000000001
73,4285.100000000001
74,4035.400000000001
75,4054.100000000001
76,4542.9000000000015
77,4293.300000000001
78,4044.2000000000007
79,3796.600000000001
80,4533.100000000002
81,3793.800000000001
82,4043.900000000001
83,4535.000000000002
84,3527.0000000000005
85,4293.800000000001
86,4044.400000000001
87,3793.500000000001
88,3781.000000000001
89,3533.8000000000006
90,4527.000000000002
91,4290.100000000001
92,3797.600000000001
93,2791.8
94,4292.200000000001
95,3542.7000000000003
96,4286.600000000001
97,4047.500000000001
98,4292.400000000001
99,4042.2000000000007
100,3044.0
101,4052.300000000001
102,4543.600000000002
103,4792.300000000001
104,3787.400000000001
105,4295.400000000001
106,4050.500000000001
107,4540.600000000002
108,3529.3000000000006
109,3552.5000000000005
110,3789.7000000000007
111,4051.900000000001
112,4276.400000000001
113,4047.2000000000007
114,4789.700000000001
115,3805.400000000001
116,4527.600000000002
117,3550.9000000000005
118,4283.600000000001
119,4536.9000000000015
120,3554.9000000000005
121,4541.200000000002
122,4049.100000000001
123,3782.800000000001
124,4034.900000000001
125,4040.600000000001
126,4041.800000000001
127,4060.800000000001
128,4555.000000000002
129,4535.100000000002
130,4026.500000000001
131,4289.800000000001
132,3790.600000000001
133,4299.900000000001
134,4535.500000000002
135,4282.400000000001
136,4045.500000000001
137,3541.5000000000005
138,4298.600000000001
139,3798.800000000001
140,3286.8000000000006
141,3797.2000000000007
142,4044.300000000001
143,3781.2000000000007
144,4026.2000000000007
145,3792.600000000001
146,3785.2000000000007
147,4784.000000000001
148,4037.400000000001
149,2563.9999999999995
150,3540.2000000000003
151,3792.600000000001
152,4036.100000000001
153,4544.300000000002
154,4309.900000000001
155,4289.900000000001
156,4038.000000000001
157,4280.400000000001
158,4300.500000000001
159,4550.800000000002
160,3795.7000000000007
161,3543.9000000000005
162,3793.900000000001
163,3046.3
164,4048.500000000001
165,3550.3000000000006
166,4028.400000000001
167,4032.800000000001
168,4025.7000000000007
169,4551.800000000002
170,4276.700000000001
171,3535.6000000000004
172,4286.500000000001
173,3783.2000000000007
174,4306.900000000001
175,4040.400000000001
176,4285.400000000001
177,4061.100000000001
178,3791.7000000000007
179,4043.400000000001
180,4302.300000000001
181,3794.900000000001
182,4028.500000000001
183,4297.400000000001
184,4539.000000000002
185,3542.6000000000004
186,3793.000000000001
187,3798.2000000000007
188,4535.9000000000015
189,4031.100000000001
190,4049.100000000001
191,4046.2000000000007
192,4042.600000000001
193,4283.500000000001
194,4281.600000000001
195,3803.900000000001
196,4287.500000000001
197,4029.7000000000007
198,4041.400000000001
199,4279.800000000001
200,4543.800000000002
201,4796.600000000001
202,4295.600000000001
203,4288.800000000001
204,4285.400000000001
205,3803.100000000001
206,4295.200000000001
207,4295.900000000001
208,3786.900000000001
209,3563.5000000000005
210,3314.0000000000005
211,4283.300000000001
212,3786.400000000001
213,4294.600000000001
214,4047.7000000000007
215,4296.300000000001
216,4041.600000000001
217,3034.6
218,4049.100000000001
219,4034.600000000001
220,4531.500000000002
221,4542.000000000002
222,4039.800000000001
223,4040.500000000001
224,3555.4000000000005
225,4544.100000000002
226,4294.600000000001
227,4528.500000000002
228,4047.400000000001
229,3540.5000000000005
230,3541.7000000000003
231,4037.000000000001
232,3778.400000000001
233,4537.200000000002
234,4048.400000000001
235,3786.000000000001
236,4035.500000000001
237,4031.300000000001
238,4037.2000000000007
239,4041.600000000001
240,4299.500000000001
241,4529.300000000002
242,3788.800000000001
243,4286.500000000001
244,3804.2000000000007
245,3810.600000000001
246,3806.500000000001
247,4782.000000000001
248,4286.200000000001
249,4294.700000000001
250,4540.9000000000015
251,3799.400000000001
252,3802.000000000001
253,3792.100000000001
254,4283.700000000001
255,2801.4
256,3797.600000000001
257,4781.800000000001
258,4531.9000000000015
259,4050.7000000000007
260,2807.3
261,4036.900000000001
262,4284.100000000001
263,4292.300000000001
264,4288.500000000001
265,3049.6
266,4049.800000000001
267,3808.100000000001
268,4291.000000000001
269,3308.1000000000004
270,4037.2000000000007
271,4534.4000000000015
272,4055.7000000000007
273,3794.300000000001
274,4294.700000000001
275,2794.8
276,4551.100000000002
277,4309.200000000001
278,4534.000000000002
279,2555.5999999999995
280,3771.7000000000007
281,3793.300000000001
282,3792.7000000000007
283,3303.3000000000006
284,4289.900000000001
285,4288.900000000001
286,3536.6000000000004
287,4050.7000000000007
288,4307.300000000001
289,4049.900000000001
290,4541.4000000000015
291,4308.200000000001
292,4046.900000000001
293,3296.5000000000005
294,4046.600000000001
295,4050.000000000001
296,3291.5000000000005
297,4531.300000000002
298,3549.4000000000005
299,4040.800000000001
300,4032.600000000001
301,3551.1000000000004
302,4531.300000000002
303,4297.600000000001
304,4291.200000000001
305,4053.900000000001
306,4047.100000000001
307,4285.200000000001
308,4539.9000000000015
309,4045.7000000000007
310,3311.6000000000004
311,3544.9000000000005
312,3784.800000000001
313,4287.500000000001
314,3795.500000000001
315,3545.1000000000004
316,4041.000000000001
317,3541.8000000000006
318,4285.300000000001
319,4301.000000000001
320,4035.500000000001
321,3797.900000000001
322,4044.900000000001
323,4789.400000000001
324,4782.000000000001
325,4279.200000000001
326,4534.4000000000015
327,2568.7999999999997
328,3299.1000000000004
329,3539.2000000000003
330,4055.400000000001
331,4300.900000000001
332,3798.400000000001
333,3803.900000000001
334,3803.800000000001
335,4040.500000000001
336,4043.300000000001
337,3799.500000000001
338,4291.100000000001
339,3799.100000000001
340,3549.6000000000004
341,4056.800000000001
342,3807.800000000001
343,4039.7000000000007
344,4289.000000000001
345,4543.9000000000015
346,4532.600000000002
347,3546.3000000000006
348,3803.800000000001
349,4047.500000000001
350,3294.6000000000004
351,4050.600000000001
352,4544.100000000002
353,3789.300000000001
354,4288.000000000001
355,4298.100000000001
356,4045.500000000001
357,4536.700000000002
358,4306.500000000001
359,4549.300000000002
360,4283.600000000001
361,4285.200000000001
362,4044.900000000001
363,3545.3000000000006
364,4291.300000000001
365,4783.200000000001
366,4296.700000000001
367,3291.7000000000003
368,4300.500000000001
369,4535.500000000002
370,3064.3
371,4284.400000000001
372,3798.100000000001
373,4043.000000000001
374,3780.600000000001
375,4297.100000000001
376,2792.5
377,3796.300000000001
378,3804.400000000001
379,3788.800000000001
380,4793.800000000001
381,4053.000000000001
382,4281.400000000001
383,4047.900000000001
384,4557.300000000002
385,3792.400000000001
386,3797.300000000001
387,2794.3
388,4306.000000000001
389,3539.1000000000004
390,4039.7000000000007
391,4297.000000000001
392,4284.900000000001
393,4289.700000000001
394,3821.100000000001
395,2800.5
396,4547.000000000002
397,3541.6000000000004
398,4294.200000000001
399,4541.300000000002
400,4290.600000000001
401,4301.000000000001
402,4033.500000000001
403,4038.500000000001
404,4549.700000000002
405,3785.2000000000007
406,3554.2000000000003
407,3542.6000000000004
408,4039.400000000001
409,4037.900000000001
410,3793.600000000001
411,4284.500000000001
412,4041.600000000001
413,4285.300000000001
414,4543.200000000002
415,3032.4
416,3551.2000000000003
417,4053.400000000001
418,4289.100000000001
419,4286.300000000001
420,4043.800000000001
421,4285.100000000001
422,3556.4000000000005
423,4277.300000000001
424,3796.800000000001
425,3299.8000000000006
426,4040.500000000001
427,3785.7000000000007
428,3307.6000000000004
429,4037.500000000001
430,4298.000000000001
431,3296.3000000000006
432,3548.1000000000004
433,3297.6000000000004
434,4544.500000000002
435,4284.600000000001
436,3563.6000000000004
437,3542.0000000000005
438,4307.500000000001
439,4033.7000000000007
440,4791.400000000001
441,4547.4000000000015
442,3303.7000000000003
443,4293.200000000001
444,3813.7000000000007
445,4294.800000000001
446,4026.600000000001
447,3561.5000000000005
448,4297.700000000001
449,4796.900000000001
450,4541.500000000002
451,4546.700000000002
452,4298.200000000001
453,4303.000000000001
454,4294.800000000001
455,4042.7000000000007
456,4528.200000000002
457,4281.400000000001
458,4043.100000000001
459,4304.700000000001
460,4295.200000000001
461,3792.600000000001
462,3296.7000000000003
463,4046.400000000001
464,3555.8000000000006
465,4295.800000000001
466,3792.100000000001
467,4055.900000000001
468,3557.6000000000004
469,4045.7000000000007
470,4034.7000000000007
471,4295.100000000001
472,4280.800000000001
473,4291.500000000001
474,4281.000000000001
475,3291.7000000000003
476,4058.2000000000007
477,4546.000000000002
478,3806.100000000001
479,3045.2
480,4286.500000000001
481,3535.2000000000003
482,4522.300000000002
483,4049.2000000000007
484,4551.800000000002
485,4049.7000000000007
486,3550.6000000000004
487,4038.7000000000007
488,4051.100000000001
489,4055.100000000001
490,4043.7000000000007
491,4524.800000000002
492,3785.100000000001
493,4285.200000000001
494,4287.500000000001
495,3558.5000000000005
496,3536.8000000000006
497,3548.9000000000005
498,4538.200000000002
499,3302.6000000000004
500,4049.2000000000007
501,2789.6
502,4544.100000000002
503,4033.400000000001
504,4295.300000000001
505,3532.2000000000003
506,4042.900000000001
507,4040.400000000001
508,3537.8000000000006
509,3780.600000000001
510,3803.300000000001
511,4042.000000000001
512,4051.500000000001
513,4035.7000000000007
514,4536.200000000002
515,4543.500000000002
516,4284.900000000001
517,4302.600000000001
518,4798.300000000001
519,4297.900000000001
520,3302.6000000000004
521,4285.700000000001
522,3307.0000000000005
523,4792.300000000001
524,4048.500000000001
525,4044.2000000000007
526,4031.800000000001
527,3795.600000000001
528,3802.300000000001
529,3310.0000000000005
530,3077.0
531,4542.100000000002
532,4048.400000000001
533,4039.000000000001
534,4301.400000000001
535,3290.0000000000005
536,4045.100000000001
537,4046.2000000000007
538,4043.400000000001
539,3550.2000000000003
540,2810.7
541,3554.1000000000004
542,4541.100000000002
543,4296.500000000001
544,3793.500000000001
545,4282.300000000001
546,3805.600000000001
547,3804.800000000001
548,3547.7000000000003
549,4299.100000000001
550,4798.900000000001
551,3533.5000000000005
552,3801.600000000001
553,4041.500000000001
554,4285.900000000001
555,3302.1000000000004
556,4545.4000000000015
557,4294.200000000001
558,3053.7
559,3786.100000000001
560,4284.200000000001
561,4781.300000000001
562,3787.400000000001
563,3786.300000000001
564,4533.100000000002
565,4292.600000000001
566,3802.800000000001
567,4031.100000000001
568,4047.7000000000007
569,4034.100000000001
570,4552.4000000000015
571,4032.600000000001
572,4782.300000000001
573,3782.900000000001
574,4277.300000000001
575,4788.900000000001
576,3543.8000000000006
577,3317.5000000000005
578,4787.600000000001
579,4283.800000000001
580,4035.2000000000007
581,4045.900000000001
582,4789.900000000001
583,3788.800000000001
584,3799.7000000000007
585,3793.300000000001
586,4288.400000000001
587,3562.7000000000003
588,4539.700000000002
589,4038.600000000001
590,3545.5000000000005
591,4035.900000000001
592,2056.6
593,3289.5000000000005
594,3800.900000000001
595,4028.100000000001
596,3780.300000000001
597,4545.200000000002
598,4535.600000000002
599,4288.900000000001
600,4299.400000000001
601,3561.6000000000004
602,3555.0000000000005
603,4295.000000000001
604,4290.300000000001
605,4796.000000000001
606,4289.400000000001
607,3786.2000000000007
608,4538.4000000000015
609,3799.000000000001
610,3284.8000000000006
611,4540.600000000002
612,4046.900000000001
613,3796.7000000000007
614,4052.900000000001
615,3796.500000000001
616,4538.800000000002
617,3782.800000000001
618,3809.300000000001
619,4042.800000000001
620,4298.500000000001
621,4538.700000000002
622,4296.900000000001
623,4049.600000000001
624,4034.900000000001
625,4787.500000000001
626,3779.2000000000007
627,3798.2000000000007
628,3797.400000000001
629,3554.4000000000005
630,4048.400000000001
631,4044.800000000001
632,3791.600000000001
633,4549.700000000002
634,4282.600000000001
635,4041.900000000001
636,4038.800000000001
637,4046.7000000000007
638,2798.6
639,4530.500000000002
640,4543.700000000002
641,3051.1
642,4037.400000000001
643,4054.300000000001
644,4051.400000000001
645,3804.900000000001
646,3790.300000000001
647,3053.6
648,3793.100000000001
649,4039.500000000001
650,3552.8000000000006
651,3554.6000000000004
652,3311.6000000000004
653,3302.8000000000006
654,4041.500000000001
655,3542.8000000000006
656,4300.200000000001
657,2797.4
658,4540.4000000000015
659,4540.700000000002
660,4782.700000000001
661,4306.400000000001
662,4288.600000000001
663,3533.3000000000006
664,4277.200000000001
665,3794.800000000001
666,3797.7000000000007
667,3307.8000000000006
668,4542.300000000002
669,3780.800000000001
670,3305.7000000000003
671,4291.400000000001
672,4288.600000000001
673,3802.400000000001
674,4539.000000000002
675,4037.2000000000007
676,4529.200000000002
677,3786.000000000001
678,4782.700000000001
679,4799.300000000001
680,4279.000000000001
681,4532.000000000002
682,3552.0000000000005
683,4030.7000000000007
684,4293.000000000001
685,4790.900000000001
686,4032.900000000001
687,4290.800000000001
688,4302.700000000001
689,3811.800000000001
690,4049.100000000001
691,4520.9000000000015
692,4531.000000000002
693,3808.400000000001
694,3791.7000000000007
695,4788.500000000001
696,3313.1000000000004
697,3547.8000000000006
698,4540.000000000002
699,3790.7000000000007
700,3801.600000000001
701,3795.400000000001
702,4302.900000000001
703,3789.800000000001
704,4038.7000000000007
705,3553.4000000000005
706,3545.1000000000004
707,4290.600000000001
708,3560.8000000000006
709,4294.500000000001
710,4044.300000000001
711,3784.600000000001
712,3794.000000000001
713,4287.600000000001
714,3307.2000000000003
715,4540.000000000002
716,4050.600000000001
717,4775.200000000001
718,3548.5000000000005
719,4519.500000000002
720,3544.6000000000004
721,4292.800000000001
722,4044.000000000001
723,4052.300000000001
724,4034.300000000001
725,4301.600000000001
726,4285.100000000001
727,4289.400000000001
728,3804.000000000001
729,4044.900000000001
730,3801.300000000001
731,3545.8000000000006
732,4037.900000000001
733,4788.700000000001
734,4301.900000000001
735,4283.700000000001
736,4286.800000000001
737,4287.100000000001
738,4043.7000000000007
739,3801.800000000001
740,4057.800000000001
741,4045.300000000001
742,3563.4000000000005
743,3795.900000000001
744,3063.9
745,3570.3000000000006
746,4541.200000000002
747,4294.400000000001
748,3538.9000000000005
749,4520.9000000000015
750,4308.300000000001
751,4035.600000000001
752,4045.7000000000007
753,4543.200000000002
754,3546.4000000000005
755,3812.100000000001
756,4290.900000000001
757,4042.7000000000007
758,3313.0000000000005
759,3800.600000000001
760,4546.600000000002
761,4297.400000000001
762,2809.7
763,3804.000000000001
764,3786.900000000001
765,4034.400000000001
766,3789.600000000001
767,4785.800000000001
768,4293.500000000001
769,2808.4
770,4026.800000000001
771,4538.800000000002
772,3063.6
773,4276.600000000001
774,3790.000000000001
775,4542.800000000002
776,4297.100000000001
777,4295.900000000001
778,4046.900000000001
779,4288.600000000001
780,4054.800000000001
781,3279.8000000000006
782,3782.800000000001
