run, K
0,4074.5000000000014
1,5052.700000000001
2,3833.4
3,4818.700000000001
4,4571.0
5,6055.7
6,4828.900000000001
7,4803.400000000001
8,5071.200000000001
9,4071.600000000001
10,4572.299999999999
11,4824.400000000001
12,4306.900000000001
13,4073.300000000001
14,4069.6000000000013
15,4079.000000000001
16,4556.200000000001
17,3585.100000000001
18,4581.5
19,4333.1
20,4579.500000000001
21,3831.9000000000015
22,4571.000000000002
23,4566.500000000001
24,4310.9000000000015
25,4575.9000000000015
26,4071.500000000001
27,5064.900000000001
28,4577.800000000001
29,4817.800000000002
30,3826.7000000000007
31,3830.1
32,3336.4000000000005
33,4569.900000000001
34,5067.700000000001
35,4574.900000000001
36,4078.4000000000015
37,4318.000000000001
38,4817.9000000000015
39,4819.200000000001
40,3331.4000000000005
41,3323.2000000000007
42,4329.500000000002
43,4066.9000000000015
44,4571.500000000002
45,3822.0000000000005
46,4571.300000000001
47,3812.6000000000004
48,4324.100000000001
49,4092.700000000001
50,4078.700000000001
51,4068.4000000000005
52,4317.4000000000015
53,3825.900000000001
54,3819.700000000001
55,4083.2
56,5078.500000000001
57,4321.4000000000015
58,4567.400000000001
59,4572.700000000001
60,4327.800000000001
61,4073.9000000000015
62,3572.1000000000013
63,3828.5000000000014
64,4322.300000000001
65,4323.4000000000015
66,4072.4000000000015
67,4819.400000000002
68,4566.600000000001
69,3569.9000000000005
70,4584.900000000001
71,3825.7000000000007
72,4577.300000000001
73,3812.600000000001
74,4313.9000000000015
75,4822.1
76,3831.3000000000006
77,4079.0000000000005
78,4576.300000000001
79,4079.100000000001
80,3583.2999999999993
81,3578.9
82,3325.6000000000004
83,4326.9000000000015
84,3060.2000000000007
85,3572.300000000001
86,4082.4000000000015
87,4577.500000000002
88,4564.900000000002
89,4079.2000000000007
90,4326.700000000002
91,4579.600000000001
92,5072.700000000002
93,3073.5
94,4072.0000000000014
95,4835.100000000001
96,4078.900000000001
97,4307.800000000001
98,3573.4000000000005
99,4578.2
100,5085.1
101,4072.500000000001
102,4069.2000000000016
103,4330.700000000002
104,4057.700000000001
105,4317.600000000001
106,4316.100000000001
107,4080.900000000001
108,4572.600000000001
109,4571.8
110,4088.100000000001
111,3570.2000000000007
112,3835.5000000000005
113,4319.800000000001
114,4805.300000000001
115,4073.4000000000005
116,4323.500000000001
117,4813.700000000001
118,3323.7000000000007
119,4315.4000000000015
120,4830.9000000000015
121,4828.000000000001
122,3816.3000000000006
123,5075.800000000002
124,4332.400000000001
125,4072.3000000000015
126,4560.300000000001
127,4563.000000000002
128,3320.7000000000007
129,5067.200000000001
130,4580.200000000002
131,4565.500000000001
132,4570.000000000002
133,4087.800000000001
134,4078.3000000000006
135,3829.6000000000013
136,4320.400000000001
137,4060.600000000001
138,4327.400000000001
139,4314.800000000001
140,4823.000000000001
141,3834.0000000000005
142,4333.300000000001
143,4324.9000000000015
144,3816.200000000001
145,4813.200000000002
146,3582.4000000000015
147,4080.500000000002
148,3824.800000000001
149,4824.700000000002
150,3338.0
151,3836.0000000000014
152,4328.100000000001
153,4077.500000000001
154,5083.000000000001
155,4576.4000000000015
156,5317.700000000002
157,4327.700000000002
158,4315.300000000001
159,4065.400000000002
160,3840.300000000001
161,4070.6000000000004
162,4844.2
163,4569.600000000001
164,4068.700000000001
165,4559.500000000001
166,4578.4000000000015
167,4569.200000000001
168,4574.300000000001
169,4081.9000000000005
170,4567.6
171,4331.800000000001
172,4806.800000000002
173,4083.9000000000015
174,4060.6000000000004
175,4329.100000000002
176,4079.7000000000003
177,4309.200000000002
178,3830.0000000000005
179,4569.000000000001
180,4573.400000000001
181,3349.8
182,4822.800000000001
183,4081.1000000000013
184,4573.800000000001
185,4569.700000000002
186,5080.4000000000015
187,4330.1
188,4814.500000000002
189,4326.800000000002
190,3830.3000000000006
191,4573.200000000002
192,4832.100000000001
193,5068.800000000001
194,4315.0
195,4314.200000000003
196,4587.8
197,4822.0
198,5083.000000000002
199,4071.900000000001
200,4319.500000000001
201,4318.600000000001
202,3332.4000000000005
203,4813.200000000001
204,4577.800000000001
205,4568.200000000001
206,4574.4000000000015
207,3083.8999999999996
208,4074.700000000001
209,4569.600000000001
210,5079.400000000001
211,4329.400000000001
212,4079.8000000000006
213,4567.0
214,3815.300000000001
215,4320.900000000001
216,3579.4000000000005
217,3575.9000000000005
218,3820.7000000000007
219,4581.500000000001
220,3834.5000000000005
221,4581.900000000001
222,4316.000000000001
223,4316.000000000001
224,5073.700000000001
225,4570.6
226,4067.4000000000005
227,3088.4999999999995
228,4068.700000000001
229,3821.9000000000005
230,4828.500000000001
231,4572.000000000002
232,4567.700000000001
233,4567.000000000002
234,4073.0000000000014
235,4330.000000000001
236,2848.7999999999997
237,4070.900000000002
238,5575.6
239,4320.700000000002
240,5328.100000000001
241,5071.4000000000015
242,3578.200000000001
243,4312.300000000001
244,5064.4000000000015
245,4321.600000000001
246,4572.000000000001
247,3087.7000000000007
248,4081.3000000000006
249,3832.700000000001
250,5083.4000000000015
251,4581.700000000001
252,4062.8000000000015
253,4320.300000000001
254,4079.400000000001
255,4077.9000000000015
256,4079.800000000001
257,4072.3000000000006
258,4573.4000000000015
259,4568.9000000000015
260,4077.500000000001
261,4808.600000000001
262,4562.600000000001
263,4576.300000000001
264,3585.7000000000007
265,4822.600000000001
266,4320.4000000000015
267,3828.100000000001
268,4824.9000000000015
269,5580.300000000001
270,3824.7000000000007
271,4571.000000000001
272,3823.900000000001
273,4816.400000000001
274,4322.300000000001
275,4307.700000000001
276,3827.6000000000013
277,4333.400000000001
278,4816.700000000001
279,4571.900000000001
280,4303.900000000001
281,3335.9
282,4328.900000000001
283,5073.0
284,4836.600000000002
285,3816.900000000001
286,4575.3
287,4318.100000000001
288,4058.000000000001
289,4321.500000000001
290,4575.400000000001
291,4330.700000000001
292,5327.500000000001
293,4832.600000000001
294,5064.500000000001
295,5061.000000000002
296,3830.5000000000005
297,4070.800000000001
298,4568.700000000001
299,3816.8999999999996
300,4816.000000000002
301,4058.800000000001
302,4579.700000000001
303,4311.200000000001
304,4334.200000000001
305,3824.9000000000005
306,4332.100000000001
307,3845.100000000001
308,5076.200000000002
309,4312.600000000001
310,4077.1000000000004
311,4069.9
312,4566.500000000001
313,4824.4000000000015
314,4802.0
315,4089.900000000001
316,4315.4
317,3335.4
318,4083.5000000000005
319,5073.6
320,4568.900000000001
321,4327.9
322,4579.800000000001
323,4078.4
324,4327.9000000000015
325,4579.000000000001
326,4327.9000000000015
327,5075.800000000002
328,4323.200000000002
329,4080.0000000000005
330,3819.4000000000005
331,4582.700000000002
332,3828.9000000000005
333,4813.300000000001
334,4324.5
335,4082.3000000000006
336,4086.600000000001
337,4334.300000000001
338,3838.700000000001
339,5085.1
340,4325.500000000001
341,4818.100000000002
342,4827.200000000001
343,3588.7
344,4571.200000000002
345,3576.9
346,3827.4000000000005
347,4569.600000000002
348,4815.500000000002
349,4572.600000000001
350,4568.600000000001
351,4816.600000000001
352,4572.4000000000015
353,4831.600000000001
354,5068.4000000000015
355,4575.400000000001
356,4075.000000000001
357,3586.000000000001
358,4330.000000000002
359,4828.900000000001
360,4318.300000000001
361,4578.900000000001
362,4815.000000000002
363,4328.600000000001
364,4078.200000000001
365,5070.500000000001
366,3339.5
367,5079.1
368,5066.400000000001
369,4329.600000000001
370,3593.7000000000007
371,4086.3999999999996
372,4579.7
373,4079.500000000002
374,4577.600000000001
375,4330.3
376,4327.500000000002
377,4322.2
378,4322.600000000001
379,4317.100000000002
380,4561.9000000000015
381,4834.100000000001
382,4828.7
383,4823.300000000002
384,4822.700000000001
385,4564.300000000002
386,3566.4
387,3811.7
388,3338.4000000000005
389,3839.8000000000006
390,4576.100000000001
391,4812.700000000001
392,3588.0000000000005
393,4568.3
394,4573.200000000001
395,3835.100000000001
396,3827.000000000001
397,5068.300000000001
398,4061.000000000001
399,4808.500000000002
400,4332.000000000001
401,4817.800000000001
402,4094.7000000000007
403,4823.600000000001
404,3830.000000000001
405,4571.600000000001
406,3571.000000000001
407,4565.700000000002
408,4579.8
409,4314.3
410,4573.0
411,5310.400000000001
412,3835.000000000001
413,3815.1000000000004
414,4326.1
415,4569.700000000001
416,4579.500000000001
417,3583.6000000000004
418,4573.000000000001
419,3829.2000000000016
420,3836.800000000001
421,4325.500000000001
422,4561.500000000001
423,5057.300000000001
424,4315.700000000002
425,4585.000000000001
426,4078.9000000000015
427,4821.200000000001
428,4317.600000000001
429,4574.800000000001
430,4565.100000000002
431,3586.600000000001
432,4825.4000000000015
433,4836.700000000001
434,3585.5
435,4838.800000000001
436,4811.200000000002
437,3580.900000000001
438,3574.3
439,4818.200000000001
440,4085.2000000000007
441,4574.1
442,4321.300000000001
443,3567.900000000001
444,4069.8000000000006
445,4328.1
446,4572.800000000002
447,5067.400000000001
448,4328.100000000001
449,4824.200000000002
450,4087.4000000000015
451,4064.500000000001
452,4316.600000000001
453,4066.5000000000005
454,4072.3000000000006
455,4568.700000000002
456,4562.300000000001
