run, K
0,4048.7000000000007
1,4039.600000000001
2,2800.5
3,4793.400000000001
4,3541.7000000000003
5,3021.3
6,4306.300000000001
7,3781.100000000001
8,4555.100000000002
9,4038.600000000001
10,3040.4
11,3797.800000000001
12,3778.300000000001
13,4292.400000000001
14,4047.400000000001
15,4050.900000000001
16,4044.400000000001
17,3545.6000000000004
18,3547.1000000000004
19,3807.100000000001
20,4039.7000000000007
21,4043.2000000000007
22,4547.4000000000015
23,4051.2000000000007
24,4285.800000000001
25,4050.2000000000007
26,4038.7000000000007
27,4043.000000000001
28,4554.200000000002
29,4794.900000000001
30,3798.400000000001
31,3800.400000000001
32,3308.0000000000005
33,4048.100000000001
34,3542.1000000000004
35,4533.9000000000015
36,4050.900000000001
37,4283.700000000001
38,3786.900000000001
39,4278.900000000001
40,3298.2000000000003
41,3297.0000000000005
42,4535.4000000000015
43,4034.800000000001
44,4044.7000000000007
45,3791.300000000001
46,4301.700000000001
47,3789.000000000001
48,4280.700000000001
49,4301.500000000001
50,4046.400000000001
51,4038.7000000000007
52,4285.400000000001
53,4054.2000000000007
54,3796.7000000000007
55,3068.8
56,4292.700000000001
57,4289.300000000001
58,4533.200000000002
59,3556.0000000000005
60,4302.500000000001
61,4293.600000000001
62,3540.2000000000003
63,4048.000000000001
64,4295.000000000001
65,4543.4000000000015
66,4033.400000000001
67,4294.600000000001
68,4538.9000000000015
69,3536.8000000000006
70,4301.000000000001
71,3795.100000000001
72,4554.800000000002
73,4033.300000000001
74,4530.700000000002
75,3798.800000000001
76,4049.100000000001
77,3541.3000000000006
78,4544.100000000002
79,4040.300000000001
80,2553.6999999999994
81,3546.1000000000004
82,3286.4000000000005
83,4290.400000000001
84,3028.0
85,3537.4000000000005
86,4298.300000000001
87,4541.200000000002
88,4532.500000000002
89,4043.300000000001
90,4544.200000000002
91,4033.400000000001
92,4551.100000000002
93,3043.8
94,4039.2000000000007
95,4049.300000000001
96,4292.300000000001
97,4279.100000000001
98,3544.2000000000003
99,3553.5000000000005
100,3556.2000000000003
101,4037.300000000001
102,4289.700000000001
103,4295.100000000001
104,4029.800000000001
105,4287.500000000001
106,4285.600000000001
107,4058.000000000001
108,4537.200000000002
109,2550.4999999999995
110,4309.800000000001
111,3544.8000000000006
112,3307.3000000000006
113,4295.600000000001
114,3789.900000000001
115,4046.000000000001
116,4291.100000000001
117,4790.700000000001
118,3543.2000000000003
119,3793.100000000001
120,4805.100000000001
121,4297.800000000001
122,3782.800000000001
123,4538.300000000002
124,3793.600000000001
125,4285.100000000001
126,4538.600000000002
127,4535.200000000002
128,3537.1000000000004
129,3527.3000000000006
130,4547.500000000002
131,4045.400000000001
132,4794.000000000001
133,3801.400000000001
134,4296.000000000001
135,3801.600000000001
136,4540.700000000002
137,4278.900000000001
138,3789.2000000000007
139,4532.300000000002
140,4786.500000000001
141,4057.800000000001
142,4058.2000000000007
143,4294.400000000001
144,3793.300000000001
145,4276.400000000001
146,3799.300000000001
147,4303.100000000001
148,3791.7000000000007
149,4310.000000000001
150,3313.5000000000005
151,4049.2000000000007
152,4554.9000000000015
153,4284.200000000001
154,3554.2000000000003
155,4551.100000000002
156,4293.900000000001
157,4295.600000000001
158,4033.800000000001
159,4285.900000000001
160,3817.400000000001
161,3555.4000000000005
162,2812.8
163,4052.300000000001
164,4046.500000000001
165,4532.100000000002
166,4547.500000000002
167,4035.500000000001
168,4043.900000000001
169,3040.4
170,3554.3000000000006
171,3299.3000000000006
172,4290.700000000001
173,4046.7000000000007
174,4030.800000000001
175,4299.000000000001
176,3562.9000000000005
177,4284.000000000001
178,3307.8000000000006
179,4037.2000000000007
180,4055.600000000001
181,3304.1000000000004
182,4288.400000000001
183,4055.800000000001
184,4533.4000000000015
185,3536.8000000000006
186,4057.2000000000007
187,4307.200000000001
188,4287.900000000001
189,4292.300000000001
190,3787.400000000001
191,4041.600000000001
192,4292.300000000001
193,4548.800000000002
194,3783.900000000001
195,4277.700000000001
196,3559.8000000000006
197,3800.500000000001
198,4537.500000000002
199,4040.000000000001
200,4287.400000000001
201,4295.000000000001
202,3544.3000000000006
203,4789.600000000001
204,4047.900000000001
205,4038.400000000001
206,4531.700000000002
207,3047.4
208,4047.7000000000007
209,4035.100000000001
210,4539.9000000000015
211,3306.5000000000005
212,4050.100000000001
213,3032.2
214,3793.600000000001
215,3793.300000000001
216,3552.9000000000005
217,4042.900000000001
218,4037.7000000000007
219,3551.6000000000004
220,4051.100000000001
221,4054.400000000001
222,3788.7000000000007
223,4289.100000000001
224,4042.100000000001
225,4031.7000000000007
226,4027.100000000001
227,3061.4
228,4042.2000000000007
229,3788.300000000001
230,4296.700000000001
231,4054.300000000001
232,4051.600000000001
233,4536.800000000002
234,4046.000000000001
235,4298.900000000001
236,2313.3999999999996
237,4038.500000000001
238,3051.6
239,4292.200000000001
240,4294.400000000001
241,4046.600000000001
242,3792.300000000001
243,4528.500000000002
244,4532.000000000002
245,4281.600000000001
246,4535.500000000002
247,3054.0
248,4047.600000000001
249,3795.400000000001
250,4048.600000000001
251,4049.400000000001
252,4026.000000000001
253,4298.600000000001
254,4051.2000000000007
255,4299.600000000001
256,4057.300000000001
257,4039.2000000000007
258,4046.300000000001
259,4056.500000000001
260,4050.7000000000007
261,4288.600000000001
262,4781.800000000001
263,4041.7000000000007
264,3801.800000000001
265,3799.900000000001
266,4293.400000000001
267,3795.900000000001
268,4283.400000000001
269,4048.7000000000007
270,4046.400000000001
271,4048.300000000001
272,3794.000000000001
273,3289.1000000000004
274,4291.200000000001
275,4272.400000000001
276,4293.700000000001
277,3307.5000000000005
278,3792.500000000001
279,3536.0000000000005
280,3790.900000000001
281,3310.5000000000005
282,4303.500000000001
283,3536.9000000000005
284,4546.4000000000015
285,3780.300000000001
286,3547.3000000000006
287,4284.000000000001
288,4025.800000000001
289,4539.300000000002
290,4038.2000000000007
291,3812.2000000000007
292,3794.100000000001
293,4300.900000000001
294,4049.7000000000007
295,4549.600000000002
296,4048.2000000000007
297,4047.2000000000007
298,4785.000000000001
299,3296.1000000000004
300,4287.700000000001
301,4036.600000000001
302,4049.900000000001
303,4281.800000000001
304,4301.500000000001
305,3793.800000000001
306,3794.2000000000007
307,3805.500000000001
308,4538.000000000002
309,4280.100000000001
310,3040.4
311,3031.7
312,4536.000000000002
313,4309.300000000001
314,4275.600000000001
315,4053.900000000001
316,3033.3
317,2813.5
318,3541.4000000000005
319,3538.6000000000004
320,4534.9000000000015
321,2303.7999999999997
322,4294.500000000001
323,3793.000000000001
324,3805.400000000001
325,4544.4000000000015
326,4296.700000000001
327,4548.100000000002
328,4283.100000000001
329,3552.7000000000003
330,3780.900000000001
331,4050.400000000001
332,3802.900000000001
333,3794.2000000000007
334,3282.9000000000005
335,3568.7000000000003
336,3538.3000000000006
337,4307.500000000001
338,3797.300000000001
339,3562.1000000000004
340,4531.800000000002
341,4289.000000000001
342,3292.8000000000006
343,3053.7
344,4538.9000000000015
345,3552.7000000000003
346,3800.600000000001
347,4532.4000000000015
348,4793.800000000001
349,4036.800000000001
350,4044.7000000000007
351,4283.400000000001
352,4050.600000000001
353,3799.000000000001
354,4041.600000000001
355,3550.6000000000004
356,3536.5000000000005
357,3556.5000000000005
358,3792.300000000001
359,3802.500000000001
360,4280.600000000001
361,3790.600000000001
362,4292.800000000001
363,4291.100000000001
364,4040.400000000001
365,4051.2000000000007
366,2806.4
367,3551.7000000000003
368,4036.2000000000007
369,4547.500000000002
370,3805.800000000001
371,2568.6999999999994
372,3544.7000000000003
373,4301.100000000001
374,4535.9000000000015
375,3807.2000000000007
376,4554.100000000002
377,3288.9000000000005
378,3786.000000000001
379,4530.000000000002
380,4039.500000000001
381,3793.7000000000007
382,3298.4000000000005
383,4283.100000000001
384,3803.100000000001
385,4542.100000000002
386,3053.5
387,3296.9000000000005
388,3550.4000000000005
389,4048.2000000000007
390,4034.2000000000007
391,4787.900000000001
392,3807.300000000001
393,4034.500000000001
394,4044.100000000001
395,3802.800000000001
396,4047.300000000001
397,4532.4000000000015
398,4031.800000000001
399,4276.600000000001
400,4302.100000000001
401,4284.200000000001
402,3558.2000000000003
403,3796.000000000001
404,3801.2000000000007
405,4538.700000000002
406,3537.5000000000005
407,4534.4000000000015
408,3055.4
409,3787.300000000001
410,4794.000000000001
411,3777.2000000000007
412,4054.600000000001
413,3289.0000000000005
414,2790.7
415,4534.200000000002
416,3551.4000000000005
417,3548.3000000000006
418,4548.500000000002
419,3792.500000000001
420,3803.500000000001
421,4294.400000000001
422,4028.2000000000007
423,4039.2000000000007
424,4289.500000000001
425,3560.3000000000006
426,4045.000000000001
427,4785.700000000001
428,4289.700000000001
429,4045.100000000001
430,4540.600000000002
431,3793.7000000000007
432,4289.800000000001
433,3803.400000000001
434,3057.7
435,4314.900000000001
436,4300.100000000001
437,3552.9000000000005
438,3539.3000000000006
439,4285.900000000001
440,3799.2000000000007
441,3537.0000000000005
442,3306.6000000000004
443,3541.8000000000006
444,3545.1000000000004
445,3797.600000000001
446,4539.100000000002
447,4284.800000000001
448,4545.500000000002
449,4285.800000000001
450,4297.100000000001
451,4281.900000000001
452,4531.500000000002
453,3536.4000000000005
454,4042.900000000001
455,4543.600000000002
456,4535.500000000002
457,4043.900000000001
458,4311.900000000001
459,4288.400000000001
460,4047.7000000000007
461,4788.000000000001
462,3801.900000000001
463,4296.800000000001
464,4547.4000000000015
465,4537.9000000000015
466,4524.500000000002
467,4041.000000000001
468,4049.300000000001
469,4540.100000000002
470,4790.200000000001
471,3797.7000000000007
472,4027.300000000001
473,2789.3
474,4045.2000000000007
475,3527.5000000000005
476,3541.1000000000004
477,4040.600000000001
478,3539.0000000000005
479,4290.800000000001
480,3531.3000000000006
481,3552.4000000000005
482,4271.100000000001
483,3054.1
484,4290.300000000001
485,4542.9000000000015
486,3801.600000000001
487,4033.800000000001
488,4780.100000000001
489,4047.500000000001
490,3787.100000000001
491,4037.000000000001
492,3800.900000000001
493,4039.100000000001
494,4293.100000000001
495,4298.700000000001
496,3787.7000000000007
497,4293.600000000001
498,4289.500000000001
499,4299.500000000001
500,4034.2000000000007
501,4536.300000000002
502,3542.5000000000005
503,3792.100000000001
504,3285.4000000000005
505,4546.800000000002
506,4533.100000000002
507,3800.000000000001
508,3804.500000000001
509,4299.200000000001
510,4294.800000000001
511,3806.500000000001
512,4058.7000000000007
513,4039.500000000001
514,4294.100000000001
515,4303.300000000001
516,3808.7000000000007
517,4545.600000000002
518,4053.400000000001
519,3552.2000000000003
520,3316.1000000000004
521,3302.2000000000003
522,4531.000000000002
523,4295.800000000001
524,4535.700000000002
525,4039.400000000001
526,4281.300000000001
527,4300.000000000001
528,4041.100000000001
529,4299.200000000001
530,4294.200000000001
531,4544.800000000002
532,4550.300000000002
533,4297.200000000001
534,4275.500000000001
535,3563.6000000000004
536,4296.800000000001
537,4540.000000000002
538,4548.500000000002
539,4540.800000000002
540,4543.300000000002
541,3799.400000000001
542,4040.500000000001
543,3559.2000000000003
544,4541.800000000002
545,3797.900000000001
546,4547.000000000002
547,4035.900000000001
548,4058.000000000001
549,3786.100000000001
550,4279.700000000001
551,3784.900000000001
552,3292.2000000000003
553,3296.2000000000003
554,4302.700000000001
555,4532.9000000000015
556,4532.9000000000015
557,4548.000000000002
558,4293.100000000001
559,4288.100000000001
560,4285.100000000001
561,4296.900000000001
562,3551.3000000000006
563,4288.700000000001
564,4534.9000000000015
565,4040.300000000001
566,4060.000000000001
567,4034.100000000001
568,4544.000000000002
569,3555.4000000000005
570,3791.2000000000007
571,3788.300000000001
572,4289.900000000001
573,3786.7000000000007
574,3535.6000000000004
575,3806.500000000001
576,3797.7000000000007
577,3809.600000000001
578,4793.600000000001
579,4540.100000000002
580,3803.300000000001
581,3300.3000000000006
582,4789.100000000001
583,4539.500000000002
584,4309.600000000001
585,3804.400000000001
586,4286.200000000001
587,3792.300000000001
588,4541.4000000000015
589,4791.800000000001
590,4536.4000000000015
591,3301.9000000000005
592,4529.9000000000015
593,3306.1000000000004
594,3801.7000000000007
595,3313.5000000000005
596,4786.400000000001
597,4298.300000000001
598,3304.6000000000004
599,3539.4000000000005
600,3794.800000000001
601,3559.6000000000004
602,4294.500000000001
603,3532.5000000000005
604,4542.100000000002
605,4291.600000000001
606,4294.200000000001
607,4280.500000000001
608,3553.0000000000005
609,4790.400000000001
610,3301.9000000000005
611,4783.700000000001
612,4535.800000000002
613,4044.000000000001
614,4291.600000000001
615,4043.400000000001
616,3793.2000000000007
617,4033.900000000001
618,4297.500000000001
619,4780.400000000001
620,3806.000000000001
621,3808.000000000001
622,4531.600000000002
623,4051.500000000001
624,4535.800000000002
625,3793.600000000001
626,4289.500000000001
627,3289.4000000000005
628,3801.800000000001
629,3788.900000000001
630,4300.400000000001
631,4792.400000000001
632,4541.4000000000015
633,3801.100000000001
634,3544.7000000000003
635,4029.2000000000007
636,3783.000000000001
637,3540.7000000000003
638,4793.700000000001
639,3807.2000000000007
640,4298.000000000001
641,3796.400000000001
642,4059.2000000000007
643,4297.000000000001
644,3552.7000000000003
645,3559.1000000000004
646,3292.1000000000004
647,4042.600000000001
648,4052.800000000001
649,4298.400000000001
650,4045.500000000001
651,3547.2000000000003
652,4302.900000000001
653,3802.800000000001
654,3795.7000000000007
655,3551.3000000000006
656,4533.000000000002
657,4046.800000000001
658,4049.100000000001
659,4283.300000000001
660,3553.3000000000006
661,3546.3000000000006
662,3783.000000000001
663,3544.4000000000005
664,3798.600000000001
665,3557.6000000000004
666,3310.3000000000006
667,3284.7000000000003
668,4049.7000000000007
669,4542.600000000002
670,3790.7000000000007
671,4306.400000000001
672,3796.600000000001
673,4285.200000000001
674,4040.600000000001
675,3805.100000000001
676,3804.600000000001
677,3322.0000000000005
678,3791.7000000000007
679,3789.600000000001
680,4042.300000000001
681,4033.000000000001
682,4543.700000000002
683,4051.7000000000007
684,4540.4000000000015
685,4293.700000000001
686,4038.600000000001
687,4544.200000000002
688,4284.000000000001
689,2793.5
690,4038.900000000001
691,4303.300000000001
692,4298.400000000001
693,4286.400000000001
694,4282.800000000001
695,4037.500000000001
696,3783.900000000001
697,4028.900000000001
698,3542.7000000000003
699,4295.500000000001
700,2798.7
701,4285.900000000001
702,4537.9000000000015
703,3805.300000000001
704,4036.2000000000007
705,4060.300000000001
706,3542.8000000000006
707,4801.200000000001
708,3789.7000000000007
709,4290.000000000001
710,4293.400000000001
711,3299.6000000000004
712,4537.500000000002
713,3802.500000000001
714,4303.000000000001
715,4285.600000000001
716,3045.7
717,3785.500000000001
718,3783.2000000000007
719,3526.2000000000003
720,3308.6000000000004
721,4294.300000000001
722,4287.800000000001
723,3809.800000000001
724,4048.7000000000007
725,4290.700000000001
726,4529.9000000000015
727,3789.900000000001
728,3794.100000000001
729,3054.3
730,4041.7000000000007
731,3549.9000000000005
732,4534.700000000002
733,3531.0000000000005
734,2814.8
735,4287.500000000001
736,3543.7000000000003
737,4056.800000000001
738,4283.100000000001
739,3774.800000000001
740,4538.500000000002
741,3542.3000000000006
742,3791.2000000000007
743,3781.900000000001
744,4527.100000000002
745,3800.300000000001
746,3786.600000000001
747,3543.4000000000005
748,4296.200000000001
749,4542.500000000002
750,3790.100000000001
751,4292.100000000001
752,4034.800000000001
753,3811.600000000001
754,2549.2999999999997
755,4291.200000000001
756,3537.8000000000006
757,4056.2000000000007
758,4294.400000000001
759,4532.9000000000015
760,3546.6000000000004
761,4050.600000000001
762,4061.300000000001
763,4024.7000000000007
764,4282.900000000001
765,3042.0
766,4545.600000000002
767,4286.900000000001
768,4788.500000000001
769,3776.500000000001
770,3562.6000000000004
771,4038.300000000001
772,4541.300000000002
773,4783.600000000001
774,4550.000000000002
775,4539.4000000000015
776,3057.8
777,3801.100000000001
778,3786.400000000001
779,4552.800000000002
780,4046.800000000001
781,3804.800000000001
782,4049.300000000001
783,4286.000000000001
784,3804.2000000000007
785,4296.600000000001
786,3299.8000000000006
787,2797.0
788,3562.9000000000005
789,3552.3000000000006
790,4284.300000000001
791,4026.600000000001
792,2820.8
793,4052.800000000001
794,4282.500000000001
795,3555.1000000000004
796,3786.100000000001
797,3803.100000000001
798,4037.300000000001
799,4035.400000000001
800,3554.9000000000005
801,3792.900000000001
802,3545.3000000000006
803,4292.100000000001
804,4295.700000000001
805,3795.2000000000007
806,3792.2000000000007
807,4293.500000000001
808,4289.200000000001
809,4548.9000000000015
810,3790.600000000001
811,4794.600000000001
812,4024.400000000001
813,4297.600000000001
814,3797.7000000000007
815,4543.800000000002
816,4032.300000000001
817,3795.000000000001
818,4036.800000000001
819,4300.600000000001
820,4286.600000000001
821,2558.6999999999994
822,4540.4000000000015
823,3789.900000000001
824,4559.600000000002
825,3793.600000000001
826,3561.0000000000005
827,3558.3000000000006
828,4795.400000000001
829,4287.300000000001
830,3060.7
831,3309.6000000000004
832,4297.600000000001
833,3294.7000000000003
834,4553.9000000000015
835,3792.800000000001
836,4291.200000000001
837,4524.800000000002
838,4302.000000000001
839,4038.800000000001
840,4049.300000000001
841,2802.6
842,4540.200000000002
843,3304.0000000000005
844,4536.500000000002
845,4040.800000000001
846,4043.600000000001
847,4531.200000000002
848,4299.700000000001
849,3535.5000000000005
850,4046.900000000001
851,2801.3
852,4274.400000000001
853,3781.900000000001
854,3547.4000000000005
855,4040.100000000001
856,3799.500000000001
857,4042.900000000001
858,4562.100000000002
859,4789.000000000001
860,4290.200000000001
861,3794.800000000001
862,4288.000000000001
863,4051.400000000001
864,3545.2000000000003
865,3793.000000000001
866,3287.1000000000004
867,3794.300000000001
868,3298.9000000000005
869,4286.500000000001
870,4806.900000000001
871,4543.000000000002
872,3790.400000000001
873,3294.5000000000005
874,3808.800000000001
875,4031.800000000001
876,3303.4000000000005
877,4301.400000000001
878,3533.6000000000004
879,4038.2000000000007
880,3054.9
881,3784.300000000001
882,3289.5000000000005
883,2796.5
884,4538.100000000002
885,3316.0000000000005
886,3785.800000000001
887,4028.400000000001
888,3291.7000000000003
889,3559.2000000000003
890,3302.7000000000003
891,3798.300000000001
892,3538.5000000000005
893,4541.300000000002
894,3793.2000000000007
895,3558.6000000000004
896,4562.300000000002
897,4053.500000000001
898,3291.2000000000003
899,4538.600000000002
900,4285.000000000001
901,3775.000000000001
902,4538.4000000000015
903,3548.3000000000006
904,4285.300000000001
905,4046.100000000001
906,4031.900000000001
907,4042.7000000000007
908,4298.000000000001
909,4290.900000000001
910,2054.2
911,3801.7000000000007
912,4293.500000000001
913,4289.400000000001
914,4045.2000000000007
915,4289.800000000001
916,2797.8
917,4282.300000000001
918,3036.5
919,3296.9000000000005
920,3551.7000000000003
921,4545.000000000002
922,4292.900000000001
923,4547.600000000002
924,2808.1
925,4303.600000000001
926,4282.500000000001
927,4045.600000000001
928,4538.600000000002
929,4296.600000000001
930,4282.700000000001
931,4533.600000000002
932,4039.400000000001
933,3063.9
934,3543.9000000000005
935,4299.400000000001
936,3552.6000000000004
937,4043.900000000001
938,3798.7000000000007
939,4547.600000000002
940,4298.400000000001
941,3060.0
942,4548.100000000002
943,3811.000000000001
944,3551.9000000000005
945,4046.7000000000007
946,4285.100000000001
947,4050.7000000000007
948,3784.7000000000007
949,4048.500000000001
950,4778.800000000001
951,3552.9000000000005
952,4788.900000000001
953,4054.500000000001
954,4054.900000000001
955,4042.800000000001
956,4543.300000000002
957,4045.2000000000007
958,4274.600000000001
959,4286.000000000001
960,4037.300000000001
961,4782.400000000001
962,2805.9
963,4306.800000000001
964,4291.700000000001
965,3296.2000000000003
966,4037.900000000001
967,3295.5000000000005
968,4036.000000000001
969,3572.3000000000006
970,3550.8000000000006
971,3801.000000000001
972,3058.0
973,4293.200000000001
974,4033.300000000001
975,4046.300000000001
976,4527.300000000002
977,3795.500000000001
978,4055.7000000000007
979,3299.1000000000004
980,4292.600000000001
981,2302.3999999999996
982,4051.900000000001
983,4283.600000000001
984,4046.800000000001
985,4036.900000000001
986,4283.500000000001
987,3545.3000000000006
988,4041.800000000001
989,4286.800000000001
990,4300.200000000001
991,4313.800000000001
992,3783.000000000001
993,4296.500000000001
994,4287.300000000001
995,4296.400000000001
996,4026.2000000000007
997,3789.100000000001
998,3796.400000000001
999,4288.900000000001
