run, K
0,7324.200000000002
1,7495.566666666665
2,7671.733333333331
3,8003.966666666667
4,6987.2666666666655
5,7876.8
6,7500.866666666666
7,7483.466666666666
8,7679.9333333333325
9,7689.133333333334
10,7164.133333333334
11,7864.699999999998
12,7654.633333333332
13,7643.733333333334
14,7655.533333333333
15,7983.066666666666
16,7845.799999999998
17,7011.066666666666
18,8797.8
19,7478.566666666666
20,7172.133333333334
21,7669.033333333333
22,7144.333333333332
23,6839.0
24,7056.5666666666675
25,8018.566666666665
26,7159.333333333333
27,8983.266666666665
28,6821.899999999999
29,6701.233333333332
30,8144.733333333332
31,8005.266666666666
32,7831.4
33,7520.166666666668
34,8140.133333333333
35,7190.033333333333
36,7824.6
37,8176.2333333333345
38,6690.733333333334
39,8117.433333333333
40,7984.466666666666
41,8334.3
42,8164.733333333332
43,8157.233333333333
44,7009.966666666666
45,7464.7666666666655
46,8003.466666666667
47,6869.100000000001
48,7172.633333333333
49,7505.666666666665
50,7668.533333333334
51,7984.666666666667
52,7384.799999999998
53,7838.699999999998
54,7525.366666666666
55,7021.966666666667
56,8008.066666666664
57,6713.333333333332
58,7057.866666666667
59,7130.833333333332
60,7371.8
61,6224.533333333332
62,8181.533333333333
63,7313.199999999998
64,7013.0666666666675
65,7493.866666666664
66,7315.199999999997
67,7981.166666666666
68,7177.033333333333
69,7342.2
70,7665.733333333333
71,8007.066666666666
72,7339.999999999999
73,8136.133333333336
74,8494.266666666666
75,7664.533333333334
76,8503.466666666667
77,7658.633333333333
78,7145.033333333333
79,6831.400000000001
80,7499.066666666666
81,8499.166666666666
82,7665.533333333334
83,8675.933333333334
84,7695.833333333334
85,8507.566666666666
86,6996.066666666666
87,7633.833333333334
88,7497.066666666667
89,7964.866666666667
90,7670.333333333333
91,7511.866666666668
92,8499.966666666665
93,7805.799999999999
94,7820.700000000001
95,7014.366666666666
96,6368.8
97,6998.666666666665
98,8167.033333333334
99,7486.466666666666
